Emotion Class,MobileNetV3,ShuffleNetV2 (0.5x),ShuffleNetV2 (1.0x),EfficientNet B0,EfficientNet B1,MNASNet (0.5x),SqueezeNet v1.1,ResNet-18
Angry,66.17954070981212,62.00417536534447,63.569937369519835,65.03131524008352,62.52609603340292,62.421711899791234,59.49895615866389,66.59707724425887
Disgust,63.96396396396396,55.85585585585585,66.66666666666666,72.97297297297297,71.17117117117117,39.63963963963964,10.81081081081081,63.96396396396396
Fear,53.3203125,41.89453125,48.53515625,55.859375,50.68359375,39.0625,36.5234375,47.75390625
Happy,89.85343855693348,88.50056369785794,90.47350620067644,89.45885005636978,89.74069898534385,87.42953776775649,85.456595264938,89.17700112739571
Neutral,66.90997566909975,69.42416869424169,72.66828872668289,76.80454176804542,75.4257907542579,65.53122465531224,66.82887266828872,70.47850770478507
Sad,58.219727345629515,51.804330392943065,53.48837209302325,59.34242181234964,59.98396150761829,52.68644747393745,45.469125902165196,59.262229350441054
Surprise,84.95788206979543,80.38507821901324,84.11552346570397,85.92057761732852,85.1985559566787,82.79181708784597,81.34777376654633,85.5595667870036
